Date	Air temperature	Underground temperature	Fuel temperature (start of day)	Fuel volume (start of day)	Amount of sales	Supplier name	Driver name	Refill volume	Refill temperature	Fuel temperature (end of day)	Fuel volume (end of day)
2000-8-8	16.11976606957044	7.686082845477161	7.378953658806324	651.708295166883	0.5832033680307759	 	 	0.0	16.11976606957044	7.378953658806324	651.1250917988522	
2000-8-9	10.239937660625172	7.738935806479839	7.431174839532654	651.1250917988522	0.5632738536676539	 	 	0.0	10.239937660625172	7.431174839532654	650.5618179451845	
2000-8-10	18.059871328189434	7.791857790840322	7.483548320938242	650.5618179451845	0.6993528452613339	 	 	0.0	18.059871328189434	7.483548320938243	649.8624650999232	
2000-8-11	13.748238546088627	7.844833202206913	7.536071584773588	649.8624650999232	0.5121717299087679	 	 	0.0	13.748238546088627	7.536071584773589	649.3502933700144	
2000-8-12	12.126587919996316	7.897846428482725	7.588712741782451	649.3502933700144	0.9350337826525927	 	 	0.0	12.126587919996316	7.588712741782452	648.4152595873618	
2000-8-13	16.008978643261187	7.9508818464266495	7.641494214580753	648.4152595873618	0.5221750334487577	 	 	0.0	16.008978643261187	7.641494214580753	647.893084553913	
2000-8-14	12.498268440107404	8.003923826257585	7.69436149151487	647.893084553913	0.9728258357425045	 	 	0.0	12.498268440107404	7.69436149151487	646.9202587181705	
2000-8-15	14.321706561098742	8.05695673626062	7.7473396365814295	646.9202587181705	0.754348087956574	 	 	0.0	14.321706561098742	7.7473396365814295	646.165910630214	
2000-8-16	15.84112792814782	8.109964947393754	7.800390310037981	646.165910630214	0.5790115657920599	 	 	0.0	15.84112792814782	7.800390310037982	645.5868990644219	
2000-8-17	11.12708729203633	8.162932837893864	7.853482003431358	645.5868990644219	0.5036585655156266	 	 	0.0	11.12708729203633	7.853482003431358	645.0832404989063	
2000-8-18	10.826012470983796	8.2158447978805	7.906594061121234	645.0832404989063	0.7304479515001598	 	 	0.0	10.826012470983796	7.9065940611212335	644.3527925474061	
2000-8-19	13.15729806235755	8.26868523395619	7.95973268923211	644.3527925474061	0.564406755225731	 	 	0.0	13.15729806235755	7.95973268923211	643.7883857921804	
2000-8-20	16.003974906415696	8.321438573801887	8.012866835460661	643.7883857921804	0.5410728994802984	 	 	0.0	16.003974906415696	8.012866835460661	643.2473128926999	
2000-8-21	14.937055990662046	8.374089270766202	8.065980025377632	643.2473128926999	0.919965003122081	 	 	0.0	14.937055990662046	8.065980025377632	642.3273478895779	
2000-8-22	14.310928769694456	8.42662180844708	8.119090825978494	642.3273478895779	0.6471046240146759	 	 	0.0	14.310928769694456	8.119090825978494	641.6802432655633	
2000-8-23	12.997036278215077	8.479020705264546	8.172156123719105	641.6802432655633	0.8956949735707905	 	 	0.0	12.997036278215077	8.172156123719105	640.7845482919925	
2000-8-24	9.262423910039583	8.531270519023192	8.225182142109636	640.7845482919925	0.8828144454822209	 	 	0.0	9.262423910039583	8.225182142109636	639.9017338465102	
2000-8-25	13.924297265088802	8.583355851463086	8.278149112761469	639.9017338465102	0.9870778791517593	 	 	0.0	13.924297265088802	8.278149112761469	638.9146559673584	
2000-8-26	13.419479069709013	8.635261352797688	8.331048033381196	638.9146559673584	0.5709431916115185	 	 	0.0	13.419479069709013	8.331048033381196	638.3437127757469	
2000-8-27	11.922601926384813	8.686971726237509	8.383823594627227	638.3437127757469	0.7598637295075213	 	 	0.0	11.922601926384813	8.383823594627227	637.5838490462393	
2000-8-28	19.788201841659724	8.738471732498152	8.436479028040488	637.5838490462393	0.6654379212382898	 	 	0.0	19.788201841659724	8.436479028040488	636.9184111250011	
2000-8-29	12.578675798126737	8.789746194291386	8.48899014096996	636.9184111250011	0.9807507015916728	 	 	0.0	12.578675798126737	8.48899014096996	635.9376604234094	
2000-8-30	13.22775948914032	8.840780000797976	8.54136955391688	635.9376604234094	0.929072895441835	 	 	0.0	13.22775948914032	8.54136955391688	635.0085875279675	
2000-8-31	12.936437682950169	8.8915581121209	8.593593840948472	635.0085875279675	0.7613907899358742	 	 	0.0	12.936437682950169	8.593593840948472	634.2471967380317	
2000-9-1	9.400978233021766	8.942065563717684	8.645630751465562	634.2471967380317	0.5473621118297823	 	 	0.0	9.400978233021766	8.645630751465562	633.6998346262019	
2000-9-2	12.331648149597465	8.992287470810517	8.697446672635015	633.6998346262019	0.7163388610548981	 	 	0.0	12.331648149597465	8.697446672635015	632.9834957651469	
2000-9-3	10.997560009355423	9.04220903277286	8.749043774869058	632.9834957651469	0.5734587812696331	 	 	0.0	10.997560009355423	8.749043774869058	632.4100369838773	
2000-9-4	17.83139907707816	9.091815537491268	8.800394859443731	632.4100369838773	0.7481892246369374	 	 	0.0	17.83139907707816	8.800394859443731	631.6618477592405	
2000-9-5	15.418687367936087	9.141092365701107	8.85150173557935	631.6618477592405	0.7497706367722159	 	 	0.0	15.418687367936087	8.85150173557935	630.9120771224681	
2000-9-6	16.18590902070031	9.190024995294928	8.902348860027065	630.9120771224681	0.5771589049474868	 	 	0.0	16.18590902070031	8.902348860027065	630.3349182175207	
2000-9-7	15.344499288430326	9.23859900560219	8.952906086100272	630.3349182175207	0.9519119178761312	 	 	0.0	15.344499288430326	8.952906086100272	629.3830062996445	
2000-9-8	10.975000982988988	9.286800081639104	9.003191797170029	629.3830062996445	0.8446742237329716	 	 	0.0	10.975000982988988	9.003191797170029	628.5383320759115	
2000-9-9	11.363318183503793	9.334614018327319	9.05317865164387	628.5383320759115	0.7732891765561555	 	 	0.0	11.363318183503793	9.05317865164387	627.7650428993553	
2000-9-10	11.601078156432644	9.382026724680234	9.102844335698444	627.7650428993553	0.803304208977137	 	 	0.0	11.601078156432644	9.102844335698444	626.9617386903782	
2000-9-11	8.475479862043866	9.429024227955662	9.15217621996658	626.9617386903782	0.8958176833830461	 	 	0.0	8.475479862043866	9.15217621996658	626.0659210069952	
2000-9-12	12.264707883126393	9.475592677773673	9.201166534199153	626.0659210069952	0.5911802458584186	 	 	0.0	12.264707883126393	9.201166534199153	625.4747407611368	
2000-9-13	16.283851938828814	9.521718350198357	9.249773889933865	625.4747407611368	0.5385372532364386	 	 	0.0	16.283851938828814	9.249773889933865	624.9362035079004	
2000-9-14	13.380579725265974	9.56738765178234	9.297982036607705	624.9362035079004	0.9056786877358567	 	 	0.0	13.380579725265974	9.297982036607705	624.0305248201645	
2000-9-15	12.5880882745773	9.612587123572823	9.345809062434213	624.0305248201645	0.6136063349056132	 	 	0.0	12.5880882745773	9.345809062434213	623.4169184852589	
